"Tag","Name","# lines","Ver.","Catalog","Documentation","Date of entry","Entry in cm-1"
"052506","H2CCHCCH (C4H4)","4096","2","HTML | ASCII","e052506.cat","June 2004",""
"052507","(c-C3H2)CH2 (C4H4)","5020","1","HTML | ASCII","e052507.cat","June 2004",""
"052508","DC3N, v = 0","135","2*","HTML | ASCII","e052508.cat","Mar. 2008",""
"052509","H13CCCN, v = 0","119","1","HTML | ASCII","e052509.cat","Dec. 2004",""
"052510","HC13CCN, v = 0","120","1","HTML | ASCII","e052510.cat","Dec. 2004",""
"052511","HCC13CN, v = 0","120","1","HTML | ASCII","e052511.cat","Dec. 2004",""
"052512","HCCC15N, v = 0","119","1","HTML | ASCII","e052512.cat","Dec. 2004",""
"052513","DC3N, v7 = 1","276","2*","HTML | ASCII","e052513.cat","Mar. 2008",""
"052514","H13CCCN, v7 = 1","196","1*","HTML | ASCII","e052514.cat","Mar. 2005",""
"052515","HC13CCN, v7 = 1","196","1*","HTML | ASCII","e052515.cat","Mar. 2005",""
"052516","HCC13CN, v7 = 1","196","1*","HTML | ASCII","e052516.cat","Mar. 2005",""
"052517","HCCC15N, v7 = 1","196","1*","HTML | ASCII","e052517.cat","Mar. 2005",""
"052518","H13CCCN, v7 = 2","264","1*","HTML | ASCII","e052518.cat","Dec. 2005",""
"052519","HC13CCN, v7 = 2","263","1*","HTML | ASCII","e052519.cat","Dec. 2005",""
"052520","HCC13CN, v7 = 2","261","1*","HTML | ASCII","e052520.cat","Dec. 2005",""
"052521","H13CCCN, v6 = 1","196","1*","HTML | ASCII","e052521.cat","Jan. 2006",""
"052522","HC13CCN, v6 = 1","196","1*","HTML | ASCII","e052522.cat","Jan. 2006",""
"052523","HCC13CN, v6 = 1","196","1*","HTML | ASCII","e052523.cat","Jan. 2006",""
"052524","H13CCCN, v5 = 1 / v7 = 3","470","1*","HTML | ASCII","e052524.cat","Jan. 2006",""
"052525","HC13CCN, v5 = 1 / v7 = 3","468","1*","HTML | ASCII","e052525.cat","Jan. 2006",""
"052526","HCC13CN, v5 = 1 / v7 = 3","592","1*","HTML | ASCII","e052526.cat","Jan. 2006",""
"052527","SiC2, v = 0","2623","3*","HTML | ASCII","e052527.cat","Dec. 2011",""
"052528","SiC2, v3 = 1","795","2*","HTML | ASCII","e052528.cat","Oct. 2015",""
